Annotation_thread_id;Annotation_post_id;Annotation_sentence_id;Label;Sublabel;Valence
16899;181007.0;1;FN;;
16899;181007.0;2;FN;;
17085;185772.0;1;C;;+
17305;186269.0;1;FN;;
17305;186269.0;2;FN;;
17305;186269.0;3;FN;;
17305;186269.0;4;FN;;
17305;186269.0;5;FN;;
17305;186269.0;6;FN;;
17305;186269.0;7;FN;;
17305;186269.0;8;FN;;
17305;186269.0;9;FN;;
17305;186269.0;10;FN;;
17305;186269.0;11;FN;;
17305;186269.0;12;FN;;
17305;186269.0;13;R;;+
17305;186269.0;14;FN;;
17305;186269.0;15;FN;;
17305;186269.0;16;FN;;
17305;186269.0;17;FN;;
17305;186269.0;18;FN;;
17305;186269.0;19;FN;;
17305;186269.0;20;FN;;
17305;186269.0;21;FN;;
17305;186269.0;22;FN;;
17305;186269.0;23;FN;;
17305;186269.0;24;FN;;
17305;186269.0;25;FN;;
17305;186269.0;26;FN;;
17305;186269.0;27;FN;;
17305;186269.0;28;FN;;
17305;186269.0;29;FN;;
17305;186269.0;30;FN;;
17305;186269.0;31;FN;;
17305;186269.0;32;FN;;
17305;186269.0;33;FN;;
17305;186269.0;34;FN;;
17305;186269.0;35;FN;;
17305;186269.0;36;C;;+
17305;186269.0;37;FN;;
17305;186269.0;38;FN;;
17305;186269.0;39;FN;;
17305;186269.0;40;FN;;
17305;186269.0;41;FN;;
17305;186269.0;42;FN;;
17305;186269.0;43;FN;;
17305;186269.0;44;FN;;
17305;186322.0;1;FN;;
17305;186322.0;2;FN;;
17305;186322.0;3;FN;;
17305;186322.0;4;FN;;
17305;186322.0;5;FN;;
17305;186322.0;6;FN;;
17305;186322.0;7;FN;;
17305;186322.0;8;FN;;
17305;186322.0;9;FN;;
17305;186322.0;10;FN;;
17305;186322.0;11;FN;;
17305;186322.0;12;FN;;
17305;186322.0;13;FN;;
17305;186322.0;14;FN;;
17305;186322.0;15;FN;;
17305;186322.0;16;FN;;
17305;186322.0;17;FN;;
17305;186322.0;18;FN;;
17305;186322.0;19;FN;;
17305;186322.0;20;FN;;
17305;186322.0;21;R;a;-
17305;186322.0;22;FN;;
17305;186322.0;23;FN;;
17305;186322.0;24;R;a;-
17305;186322.0;25;FN;;
17305;186322.0;26;FN;;
17305;186322.0;27;FN;;
17305;186322.0;28;O;;+
17305;186322.0;29;O;;+
17305;186322.0;30;O;;+
17305;186322.0;31;FN;;
17305;186322.0;32;FN;;
17305;186322.0;33;FN;;
17305;186322.0;34;FN;;
17305;186322.0;35;FN;;
17305;186322.0;36;FN;;
17305;186322.0;37;FN;;
17305;186322.0;38;FN;;
17305;186322.0;39;FN;;
17305;186322.0;40;FN;;
17305;186322.0;41;FN;;
17305;186322.0;42;FN;;
17305;186322.0;43;FN;;
17305;186330.0;1;FN;;
17305;186330.0;2;FN;;
17305;186330.0;3;FN;;
17305;186330.0;4;FN;;
17305;186330.0;5;FN;;
17305;186373.0;1;FN;;
17305;186373.0;2;O;;-
17305;186373.0;3;O;;-
17305;186373.0;4;FN;;
17305;186373.0;5;FN;;
17305;186373.0;6;FN;;
17305;186373.0;7;FN;;
17305;186373.0;8;FN;;
17305;186373.0;9;R;a;-
17305;186373.0;10;R;;+
17305;186373.0;11;R;;-
17305;186373.0;12;FN;;
17305;186373.0;13;FN;;
17305;186373.0;14;FN;;
